Battery Voltage (V),Coolant Temperature (°C),DG State (),Engine Speed (RPM),Generator Avg Frequency (Hz),Generator Avg L-L Voltage (V),Generator Avg L-N Voltage (V),Generator L1 Apparent Power (kVA),Generator L1-L2 Voltage (V),Generator L1-N Voltage (V),Generator L2 Apparent Power (kVA),Generator L2-L3 Voltage (V),Generator L2-N Voltage (V),Generator L3 Apparent Power (kVA),Generator L3-L1 Voltage (V),Generator L3-N Voltage (V),Generator Total Active Power (kW),Generator Total Apparent Power (kVA),Generator Total Reactive Power (kVAR),Load Avg Current (A),Load L1 Current (A),Load L2 Current (A),Load L3 Current (A),Lube Oil Pressure (Bar),Machine Status (),Mains Avg Frequency (Hz),Mains Avg L-L Voltage (V),Mains Avg L-N Voltage (V),Mains L1-L2 Voltage (V),Mains L1-N Voltage (V),Mains L2-L3 Voltage (V),Mains L2-N Voltage (V),Mains L3-L1 Voltage (V),Mains L3-N Voltage (V),Run Hour (Hr),Maintenance
28.4,78.61,0,1499.88,50,416.85,240.67,154,416.56,241,149,416.56,240,150,417.42,241,359.66,453,269744.38,622.67,635,613,620,4.97,1,0,0,0,0,0,0,0,0,0,1267.4,1
28.4,78.61,0,1499,50.06,416.85,240.67,159,416.56,241,153,416.56,240,154,417.42,241,369.48,466,277108.88,639.67,654,632,633,4.98,1,0,0,0,0,0,0,0,0,0,1267.4,1
28.36,78.78,0,1502.38,49.96,417.42,241,164,417.42,241,159,417.42,241,160,417.42,241,381.17,483,285874.2,659,670,650,657,5.1,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.36,78.78,0,1502.75,50.04,416.85,240.67,181,416.56,241,178,416.56,240,179,417.42,241,434.36,538,325770.91,752,760,746,750,5.09,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.4,78.5,0,1499.88,49.84,415.69,240,173,415.69,240,169,415.69,240,170,415.69,240,432.58,512,324432,751,758,744,751,5.12,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.36,78.33,0,1498.12,50.11,416.85,240.67,167,416.56,241,163,416.56,240,163,417.42,241,387.77,493,290824.18,671.33,683,665,666,5,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.36,78.33,0,1503.62,49.99,416.85,240.67,151,416.56,241,147,416.56,240,147,417.42,241,358.12,445,268587.72,620,632,612,616,4.98,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.4,78.22,0,1498.38,49.98,416.85,240.67,147,416.56,241,142,416.56,240,142,417.42,241,346.76,431,260066.56,600.33,613,594,594,5.03,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.4,78.06,0,1500.75,50.09,416.85,240.67,148,416.56,241,142,416.56,240,142,417.42,241,349.26,432,261946.67,604.67,618,596,600,5.03,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.4,78.06,0,1499.25,50.04,417.42,241,143,417.42,241,139,417.42,241,139,417.42,241,335.86,422,251894.65,580.67,591,576,575,5.03,1,0,0,0,0,0,0,0,0,0,1267.35,1
28.4,78,0,1500.12,49.93,416.27,240.33,135,415.69,240,132,416.56,240,131,416.56,241,320.89,398,240665.02,556.33,566,553,550,5.05,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.36,77.94,0,1499,50.06,416.27,240.33,137,415.69,240,134,416.56,240,133,416.56,241,321.08,403,240812.1,556.67,567,554,549,5.06,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.36,77.89,0,1500.38,49.94,416.85,240.67,141,416.56,241,138,416.56,240,137,417.42,241,330.39,416,247793.83,572,582,570,564,5.03,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.36,77.78,0,1498.12,49.92,416.27,240.33,136,415.69,240,132,416.56,240,132,416.56,241,325.5,400,244125.77,564.33,575,562,556,5.03,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.36,77.72,0,1503.5,49.95,416.27,240.33,134,415.69,240,131,416.56,240,130,416.56,241,320.69,395,240522.26,556,567,553,548,5.06,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.36,77.72,0,1502.75,49.9,416.85,240.67,130,416.56,241,127,416.56,240,126,417.42,241,305.17,383,228875.73,528.33,539,526,520,5.07,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.36,77.67,0,1502.62,50,416.85,240.67,134,416.56,241,131,416.56,240,130,417.42,241,311.71,395,233788.28,539.67,550,538,531,5.03,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.4,77.72,0,1499.62,50.12,417.42,241,131,417.42,241,128,417.42,241,126,417.42,241,300.77,386,225576,520,531,517,512,5.05,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.44,77.67,0,1502.62,50.08,416.85,240.67,118,416.56,241,114,416.56,240,113,417.42,241,272.24,345,204182.98,471.33,484,468,462,5.07,1,0,0,0,0,0,0,0,0,0,1267.3,1
28.4,77.67,0,1500.12,50.09,416.85,240.67,124,416.56,241,119,416.56,240,118,417.42,241,285.15,362,213860.81,493.67,508,489,484,5.12,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.44,77.61,0,1501.5,49.99,416.85,240.67,116,416.56,241,112,416.56,240,111,417.42,241,270.13,339,202597.45,467.67,482,464,457,5.03,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.4,77.61,0,1497.88,50.08,416.85,240.67,130,416.56,241,126,416.56,240,126,417.42,241,299.59,382,224690.96,518.67,532,514,510,5.07,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.36,77.56,0,1501.88,49.95,416.85,240.67,135,416.56,241,130,416.56,240,130,417.42,241,315.57,396,236673.43,546.33,559,541,539,5.06,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.36,77.39,0,1497.75,49.95,416.27,240.33,132,415.69,240,128,416.56,240,128,416.56,241,321.08,388,240812.1,556.67,567,552,551,5.06,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.36,77.33,0,1501.62,49.99,416.27,240.33,129,415.69,240,125,416.56,240,125,416.56,241,303.58,379,227687.2,526.33,537,522,520,5.06,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.36,77.33,0,1499,50.09,416.27,240.33,115,415.69,240,111,416.56,240,111,416.56,241,273.59,336,205192.31,474.33,485,470,468,5.1,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.4,77.39,0,1504.38,49.99,417.42,241,124,417.42,241,120,417.42,241,120,417.42,241,281.1,365,210826.8,486,497,481,480,5.09,1,0,0,0,0,0,0,0,0,0,1267.25,1
28.44,77.44,0,1499,50.08,416.85,240.67,121,416.56,241,117,416.56,240,118,417.42,241,288.04,355,216026.84,498.67,509,492,495,5.07,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.44,77.44,0,1501,49.99,416.85,240.67,118,416.56,241,114,416.56,240,114,417.42,241,273.02,346,204763.48,472.67,485,466,467,5.06,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.4,77.39,0,1502.62,50.04,416.85,240.67,127,416.56,241,123,416.56,240,123,417.42,241,293.81,373,220358.9,508.67,519,504,503,5.06,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.4,77.56,0,1497.5,50.04,416.27,240.33,124,415.69,240,120,416.56,240,120,416.56,241,289.36,364,217019.43,501.67,514,496,495,5.07,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.32,77.56,0,1501.62,50.05,416.85,240.67,127,416.56,241,122,416.56,240,121,417.42,241,288.03,369,216026.84,498.67,513,493,490,5.05,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.36,77.61,0,1498.75,49.92,416.27,240.33,129,415.69,240,124,416.56,240,124,416.56,241,303.01,377,227254.61,525.33,538,520,518,5.09,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.36,77.67,0,1499.25,49.93,416.27,240.33,122,415.69,240,119,416.56,240,119,416.56,241,296.28,360,222210.56,513.67,522,508,511,5.05,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.36,77.67,0,1498.62,49.97,416.27,240.33,125,415.69,240,122,416.56,240,122,416.56,241,298.39,369,223793.85,517.33,527,514,511,5.05,1,0,0,0,0,0,0,0,0,0,1267.2,1
28.36,77.72,0,1502.62,49.98,416.85,240.67,120,416.56,241,117,416.56,240,116,417.42,241,280.72,353,210538.12,486,496,482,480,5.05,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.4,77.89,0,1503.5,49.89,416.85,240.67,114,416.56,241,109,416.56,240,109,417.42,241,263.58,333,197684.89,456.33,469,451,449,5.07,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.4,77.89,0,1503.5,50.04,417.42,241,126,417.42,241,121,417.42,241,121,417.42,241,286.5,368,214874.15,495.33,506,488,492,5.06,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.44,77.89,0,1503.88,49.99,416.85,240.67,127,416.56,241,122,416.56,240,122,417.42,241,293.81,371,220358.9,508.67,521,504,501,5.03,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.44,77.94,0,1501,50.07,416.85,240.67,126,416.56,241,122,416.56,240,122,417.42,241,289.38,369,217036.21,501,512,494,497,5.06,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.4,78.06,0,1500.38,49.87,416.27,240.33,121,415.69,240,117,416.56,240,117,416.56,241,292.62,355,219467.91,507.33,521,502,499,5.03,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.36,78.06,0,1499.5,50.11,416.27,240.33,119,415.69,240,114,416.56,240,115,416.56,241,276.48,348,207355.28,479.33,491,471,476,5.07,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.4,78.06,0,1500.38,49.92,416.27,240.33,131,415.69,240,126,416.56,240,127,416.56,241,308.2,383,231147.95,534.33,547,528,528,5.03,1,0,0,0,0,0,0,0,0,0,1267.15,1
28.32,78.06,0,1496.38,50.03,416.27,240.33,131,415.69,240,126,416.56,240,128,416.56,241,317.81,385,238359.29,551,563,543,547,5,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.36,77.89,0,1499,49.98,416.27,240.33,139,415.69,240,135,416.56,240,137,416.56,241,328.58,411,246435.82,569.67,579,562,568,5.03,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.36,77.72,0,1497.88,50.05,416.27,240.33,143,415.69,240,138,416.56,240,142,416.56,241,342.23,423,256671,593.33,603,584,593,5.03,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.4,77.72,0,1500.12,49.86,416.27,240.33,132,415.69,240,127,416.56,240,129,416.56,241,311.09,388,233310.92,539.33,550,531,537,5,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.44,77.61,0,1499.62,50.02,416.27,240.33,131,415.69,240,127,416.56,240,129,416.56,241,320.89,387,240665.02,556.33,575,543,551,5.01,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.4,77.56,0,1501.25,49.91,416.85,240.67,129,416.56,241,125,416.56,240,126,417.42,241,305.56,381,229165.97,529,539,522,526,5.06,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.44,77.44,0,1501,50.08,416.85,240.67,127,416.56,241,123,416.56,240,125,417.42,241,299.97,375,224976.87,519.33,530,512,516,5.05,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.4,77.56,0,1498.62,49.98,416.27,240.33,128,415.69,240,124,416.56,240,125,416.56,241,300.51,377,225381.47,521,531,514,518,5.05,1,0,0,0,0,0,0,0,0,0,1267.1,1
28.36,77.61,0,1498.62,50,416.27,240.33,117,415.69,240,112,416.56,240,114,416.56,241,274.17,344,205624.91,475.33,486,468,472,5.09,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.36,77.56,0,1497.88,49.95,416.27,240.33,122,415.69,240,118,416.56,240,118,416.56,241,286.67,358,214999.22,497,508,490,493,5.07,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.36,77.56,0,1500.38,49.94,416.27,240.33,123,415.69,240,119,416.56,240,120,416.56,241,293.97,362,220480.18,509.67,520,503,506,5.07,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.36,77.56,0,1496.75,50.03,416.27,240.33,125,415.69,240,121,416.56,240,122,416.56,241,289.17,368,216872.35,501.33,512,494,498,5.06,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.36,77.56,0,1500.62,49.94,416.27,240.33,131,415.69,240,128,416.56,240,129,416.56,241,305.7,389,229274.82,530,538,524,528,5.03,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.4,77.44,0,1499.25,49.9,416.27,240.33,133,415.69,240,129,416.56,240,130,416.56,241,315.51,393,236628.92,547,557,541,543,5.03,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.44,77.44,0,1498.75,49.95,416.27,240.33,124,415.69,240,120,416.56,240,120,416.56,241,292.24,364,219182.4,506.67,517,502,501,5.05,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.44,77.33,0,1498.75,49.95,416.27,240.33,133,415.69,240,126,416.56,240,127,416.56,241,309.93,385,232445.73,537.33,557,526,529,5.09,1,0,0,0,0,0,0,0,0,0,1267.05,1
28.4,77.33,0,1500.62,49.96,416.27,240.33,126,415.69,240,122,416.56,240,122,416.56,241,299.16,370,224373.53,518.67,529,515,512,5.03,1,0,0,0,0,0,0,0,0,0,1267,1
28.4,77.17,0,1498.38,49.95,416.27,240.33,133,415.69,240,129,416.56,240,129,416.56,241,312.04,391,234033.35,541,551,538,534,5.03,1,0,0,0,0,0,0,0,0,0,1267,1
28.32,77.11,0,1503.62,49.93,416.27,240.33,124,415.69,240,120,416.56,240,119,416.56,241,295.12,362,221345.37,511.67,522,509,504,5.07,1,0,0,0,0,0,0,0,0,0,1267,1
28.36,77.17,0,1499.62,49.89,416.27,240.33,105,415.69,240,100,416.56,240,100,416.56,241,251.48,304,188610.98,436,448,431,429,5.07,1,0,0,0,0,0,0,0,0,0,1267,1
28.36,77.28,0,1501.25,50.04,417.42,241,118,417.42,241,114,417.42,241,113,417.42,241,264.71,345,198537.25,457.67,470,453,450,5.05,1,0,0,0,0,0,0,0,0,0,1267,1
28.36,77.33,0,1501.62,49.95,416.85,240.67,120,416.56,241,116,416.56,240,116,417.42,241,275.33,351,206496.3,476.67,488,470,472,5.07,1,0,0,0,0,0,0,0,0,0,1267,1
28.36,77.28,0,1502.75,50.03,416.27,240.33,121,415.69,240,116,416.56,240,117,416.56,241,284.55,354,213411.6,493.33,506,487,487,5.06,1,0,0,0,0,0,0,0,0,0,1267,1
28.44,77.17,0,1499.25,50.02,416.27,240.33,123,415.69,240,118,416.56,240,119,416.56,241,284.55,360,213411.6,493.33,504,484,492,5.07,1,0,0,0,0,0,0,0,0,0,1267,1
28.4,77.17,0,1502.75,49.97,416.85,240.67,115,416.56,241,109,416.56,240,110,417.42,241,265.7,334,199274.76,460,473,451,456,5.03,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.4,77.33,0,1499.5,50.05,416.27,240.33,115,415.69,240,110,416.56,240,111,416.56,241,268.6,336,201446.05,465.67,477,456,464,5.1,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.4,77.33,0,1499.62,50.06,416.27,240.33,129,415.69,240,120,416.56,240,122,416.56,241,299.93,372,224948.88,520,542,505,513,5.03,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.4,77.39,0,1498.75,50.03,416.85,240.67,130,416.56,241,125,416.56,240,126,417.42,241,295.93,381,221944.43,512.33,523,503,511,5.03,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.36,77.39,0,1502.38,49.98,416.85,240.67,134,416.56,241,129,416.56,240,130,417.42,241,305.36,392,229023.02,528.67,541,521,524,5.01,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.36,77.56,0,1497.25,50.05,416.27,240.33,135,415.69,240,130,416.56,240,132,416.56,241,320.89,397,240665.02,556.33,567,545,557,5,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.36,77.61,0,1500.62,50.03,416.27,240.33,128,415.69,240,122,416.56,240,124,416.56,241,303.97,374,227977.04,527,540,517,524,4.98,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.36,77.61,0,1498.62,50.09,416.27,240.33,138,415.69,240,132,416.56,240,135,416.56,241,319.16,405,239367.24,553.33,563,542,555,4.97,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.36,77.61,0,1502.75,50.03,416.85,240.67,140,416.56,241,135,416.56,240,137,417.42,241,318.46,413,238839.46,551.33,563,542,549,5.03,1,0,0,0,0,0,0,0,0,0,1266.95,1
28.4,77.67,0,1496.38,50.04,416.27,240.33,133,415.69,240,129,416.56,240,132,416.56,241,319.93,394,239946.91,554.67,565,544,555,5.01,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.44,77.78,0,1499.5,49.95,416.27,240.33,139,415.69,240,135,416.56,240,137,416.56,241,332.24,411,249174.14,576,586,567,575,4.94,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.4,77.89,0,1498.75,50.09,416.27,240.33,141,415.69,240,138,416.56,240,141,416.56,241,336.66,420,252492.14,583.67,590,575,586,5,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.48,77.94,0,1503.25,50.04,417.42,241,179,417.42,241,176,417.42,241,179,417.42,241,402.76,534,302067.95,696.33,701,688,700,5.09,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.44,77.94,0,1498.75,49.92,415.69,240,182,415.69,240,178,415.69,240,183,415.69,240,436.42,543,327313.44,757.67,762,749,762,5.1,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.4,77.94,0,1499.88,49.93,415.69,240,177,415.69,240,174,415.69,240,177,415.69,240,423.94,528,317952,736,740,728,740,5.07,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.4,78,0,1495.75,49.99,415.69,240,168,415.69,240,165,415.69,240,170,415.69,240,412.03,502,309022.56,715.33,718,708,720,5.03,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.36,78,0,1504.62,50.06,418,241.33,171,417.42,241,169,418.29,241,172,418.29,242,380.73,512,285540.21,657.33,661,650,661,5.09,1,0,0,0,0,0,0,0,0,0,1266.9,1
28.4,78.17,0,1499,49.96,415.69,240,168,415.69,240,166,415.69,240,170,415.69,240,401.86,504,301393.44,697.67,700,691,702,5.07,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.4,78.17,0,1499.62,49.97,415.69,240,178,415.69,240,175,415.69,240,179,415.69,240,427.97,532,320976,743,746,735,748,5.05,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.44,78.28,0,1499.88,49.98,414.54,239.33,175,413.96,239,172,414.83,239,175,414.83,240,437.7,522,328265.03,762,766,754,766,5.03,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.44,78.5,0,1501.5,49.99,416.27,240.33,177,415.69,240,174,416.56,240,177,416.56,241,423.57,529,317666.75,734.33,738,726,739,5.06,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.44,78.5,0,1499.88,49.93,416.27,240.33,172,415.69,240,169,416.56,240,172,416.56,241,411.45,514,308582.28,713.33,717,706,717,5.06,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.48,78.56,0,1500.75,49.98,416.85,240.67,185,416.56,241,182,416.56,240,185,417.42,241,435.13,552,326347.08,753.33,756,746,758,5.03,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.44,78.56,0,1500.75,49.96,416.85,240.67,203,416.56,241,201,416.56,240,204,417.42,241,471.91,609,353929.3,817,819,809,823,5.03,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.4,78.44,0,1497.25,49.98,415.69,240,203,415.69,240,200,415.69,240,204,415.69,240,485.38,606,364033.44,842.67,845,835,848,5.03,1,0,0,0,0,0,0,0,0,0,1266.85,1
28.4,78.5,0,1499.62,50.03,415.69,240,202,415.69,240,199,415.69,240,203,415.69,240,482.88,604,362158.56,838.33,841,830,844,5.03,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.36,78.56,0,1500.62,49.91,415.69,240,193,415.69,240,190,415.69,240,193,415.69,240,458.88,576,344161.44,796.67,799,789,802,4.96,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.36,78.61,0,1500.75,50,416.85,240.67,195,416.56,241,192,416.56,240,196,417.42,241,463.63,583,347721.46,802.67,805,795,808,4.97,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.36,78.56,0,1498.12,49.86,415.69,240,201,415.69,240,198,415.69,240,202,415.69,240,485.95,601,364465.44,843.67,845,836,850,5.01,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.4,78.56,0,1500.12,49.88,415.69,240,199,415.69,240,197,415.69,240,201,415.69,240,477.12,598,357838.56,828.33,829,821,835,5.01,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.4,78.61,0,1498.38,49.75,415.69,240,192,415.69,240,190,415.69,240,193,415.69,240,480.58,575,360430.56,834.33,834,828,841,4.97,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.4,78.56,0,1497.75,49.99,415.69,240,191,415.69,240,189,415.69,240,193,415.69,240,458.11,573,343582.56,795.33,795,789,802,4.96,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.4,78.56,0,1501,50,415.69,240,199,415.69,240,198,415.69,240,201,415.69,240,479.62,598,359713.44,832.67,832,826,840,5.03,1,0,0,0,0,0,0,0,0,0,1266.8,1
28.4,78.61,0,1503,49.96,416.85,240.67,196,416.56,241,194,416.56,240,198,417.42,241,464.2,588,348154.67,803.67,803,797,811,5.03,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.4,78.61,0,1501.5,49.93,415.69,240,191,415.69,240,190,415.69,240,193,415.69,240,462.72,574,347038.56,803.33,803,797,810,4.98,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.44,78.56,0,1499.62,50.06,416.27,240.33,187,415.69,240,185,416.56,240,188,416.56,241,444.72,561,333529.97,771,771,765,777,5.01,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.44,78.56,0,1503,50.03,416.27,240.33,195,415.69,240,194,416.56,240,197,416.56,241,466.83,587,350111.3,809.33,809,803,816,5.01,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.44,78.5,0,1500.62,49.94,415.69,240,196,415.69,240,194,415.69,240,198,415.69,240,470.59,588,352944,817,816,811,824,5.03,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.44,78.44,0,1500.75,50.04,415.69,240,196,415.69,240,194,415.69,240,198,415.69,240,470.21,588,352654.56,816.33,816,810,823,4.97,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.4,78.44,0,1498.75,49.94,415.69,240,198,415.69,240,196,415.69,240,199,415.69,240,485.76,593,364318.56,843.33,843,837,850,4.97,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.4,78.44,0,1498.75,50.06,416.27,240.33,188,415.69,240,186,416.56,240,189,416.56,241,450.29,562,337713.16,780.67,782,774,786,4.98,1,0,0,0,0,0,0,0,0,0,1266.75,1
28.4,78.33,0,1503.88,50.06,416.85,240.67,203,416.56,241,201,416.56,240,204,417.42,241,475.76,608,356818.79,823.67,824,817,830,5,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.4,78.22,0,1497.88,49.92,415.69,240,203,415.69,240,201,415.69,240,204,415.69,240,484.22,607,363169.44,840.67,842,834,846,5.01,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.36,78.28,0,1499.62,49.95,415.69,240,202,415.69,240,200,415.69,240,203,415.69,240,485.95,605,364465.44,843.67,845,837,849,4.96,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.36,78.22,0,1499.62,49.85,415.69,240,186,415.69,240,183,415.69,240,186,415.69,240,467.52,555,350641.44,811.67,814,804,817,5.03,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.4,78.28,0,1501.62,49.98,416.27,240.33,182,415.69,240,180,416.56,240,183,416.56,241,433.56,545,325167.93,751.67,755,745,755,5.03,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.4,78.33,0,1502.38,49.94,416.27,240.33,190,415.69,240,187,416.56,240,190,416.56,241,452.6,568,339443.53,784.67,789,777,788,5.05,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.44,78.5,0,1497.5,49.94,415.69,240,193,415.69,240,190,415.69,240,194,415.69,240,461.76,577,346321.44,801.67,804,792,809,4.97,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.48,78.44,0,1502.38,49.94,415.69,240,193,415.69,240,190,415.69,240,193,415.69,240,462.72,575,347038.56,803.33,808,795,807,4.97,1,0,0,0,0,0,0,0,0,0,1266.7,1
28.44,78.44,0,1501,49.98,417.42,241,189,417.42,241,185,417.42,241,188,417.42,241,438.62,562,328963.55,758.33,764,750,761,5.03,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.4,78.5,0,1500.12,50.03,416.27,240.33,187,415.69,240,183,416.56,240,186,416.56,241,445.48,556,334105.32,772.33,777,764,776,5.01,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.44,78.44,0,1499.88,50.02,415.69,240,189,415.69,240,188,415.69,240,190,415.69,240,452.16,567,339120,785,786,779,790,4.94,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.4,78.44,0,1503.88,50.07,417.42,241,189,417.42,241,187,417.42,241,190,417.42,241,449.03,567,336771.95,776.33,777,770,782,5,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.32,78.5,0,1498.75,49.96,416.85,240.67,196,416.56,241,194,416.56,240,198,417.42,241,468.82,588,351620.31,811.67,811,805,819,4.98,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.36,78.56,0,1495.75,50,415.69,240,193,415.69,240,191,415.69,240,195,415.69,240,475.97,579,356974.56,826.33,825,820,834,4.98,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.36,78.61,0,1503.62,50,416.85,240.67,195,416.56,241,193,416.56,240,197,417.42,241,461.12,584,345841.35,798.33,799,790,806,5,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.4,78.61,0,1499.25,50.04,417.42,241,196,417.42,241,193,417.42,241,197,417.42,241,467.93,586,350944.2,809,811,799,817,4.98,1,0,0,0,0,0,0,0,0,0,1266.65,1
28.4,78.61,0,1502.38,49.91,416.27,240.33,198,415.69,240,195,416.56,240,200,416.56,241,475.29,593,356457.46,824,826,814,832,4.97,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.44,78.56,0,1496.62,49.93,415.69,240,192,415.69,240,189,415.69,240,193,415.69,240,481.92,574,361441.44,836.67,838,827,845,5,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.44,78.61,0,1501.5,49.94,415.69,240,193,415.69,240,191,415.69,240,195,415.69,240,466.18,579,349630.56,809.33,811,800,817,5,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.44,78.56,0,1497.25,50.02,415.69,240,200,415.69,240,198,415.69,240,202,415.69,240,483.07,601,362305.44,838.67,839,830,847,4.97,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.44,78.61,0,1501.62,49.96,415.69,240,202,415.69,240,201,415.69,240,204,415.69,240,480.58,607,360430.56,834.33,833,827,843,4.97,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.4,78.61,0,1498.62,49.93,416.27,240.33,202,415.69,240,200,416.56,240,204,416.56,241,479.52,606,359628.37,831.33,830,824,840,5,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.4,78.78,0,1499.5,49.93,415.69,240,185,415.69,240,183,415.69,240,187,415.69,240,446.21,555,334657.44,774.67,774,768,782,4.96,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.36,78.83,0,1500.62,50.04,415.69,240,192,415.69,240,189,415.69,240,194,415.69,240,460.42,575,345310.56,799.33,800,791,807,4.94,1,0,0,0,0,0,0,0,0,0,1266.6,1
28.36,78.89,0,1502.38,49.97,417.42,241,200,417.42,241,198,417.42,241,202,417.42,241,476.22,600,357160.55,823.33,824,815,831,4.93,1,0,0,0,0,0,0,0,0,0,1266.6,1
